duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
3.58,24.16,36,2721.22,326.47,3.18,2.72,5847.83,0.18,1285.16,11,5453
1.92,5.88,3,1745.01,234.49,1.55,1.8,4394.44,0.2,1114.11,7,5840
2.95,13.08,28,2371.66,322.69,4.26,2.56,4459.53,0.25,1131.53,10,3037
3.08,25.0,4,1928.06,243.62,2.38,2.31,5114.57,0.25,1433.88,8,1624
3.69,20.41,10,2171.13,341.46,2.73,2.94,4566.27,0.29,1211.93,10,1796
1.88,11.65,12,2291.06,224.22,1.36,1.66,3814.87,0.09,1250.44,7,1902
3.12,15.38,12,2389.08,355.9,2.87,2.64,3772.5,0.17,1269.03,13,4211
1.65,10.05,19,2393.77,213.8,6.3,1.48,8541.82,0.23,1421.12,9,3666
0.0,0.0,0,1226.98,68.95,1.5,0.0,4204.95,1.0,767.7,0,1025
1.54,6.17,5,2196.81,209.08,1.6,1.44,4185.99,0.17,1099.21,6,3863
4.88,34.83,31,2212.68,363.61,2.57,3.18,6066.07,0.27,1534.93,14,3666
4.77,28.57,14,2244.42,414.19,2.06,3.41,3072.71,0.2,1229.05,12,3281
2.04,7.32,9,2112.57,254.74,1.2,1.89,2343.22,0.07,813.52,12,1739
3.79,29.81,93,2666.63,345.44,3.01,2.66,6702.67,0.25,1548.87,12,5726
3.36,26.67,8,2216.93,320.04,2.03,2.47,3539.33,0.27,1232.07,10,2875
4.81,14.75,32,2288.61,489.08,2.32,4.1,2380.51,0.32,969.13,22,3316
